GEOGRAPHY_ID,GEOGRAPHY_ID_TYPE,GEOGRAPHY_NAME,GEOGRAPHY_TYPE,GEOGRAPHY_COMMUNITY_NAME,GEOGRAPHY_COMMUNITY_ID,PDX18_TYPE,COO16_TYPE,COO18_TYPE,COOREV18_MF_TYPE,COOREV18_SF_TYPE
53033030401,GEOID,"Census Tract 304.01, King County, Washington",tract,NA,NA,NA,Susceptible,Susceptible,NA,Early Type 1
53033030403,GEOID,"Census Tract 304.03, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033030404,GEOID,"Census Tract 304.04, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033030501,GEOID,"Census Tract 305.01, King County, Washington",tract,NA,NA,Susceptible,NA,Early Type 1,NA,Early Type 1
53033030503,GEOID,"Census Tract 305.03, King County, Washington",tract,NA,NA,Dynamic,NA,Dynamic,NA,Dynamic
53033030504,GEOID,"Census Tract 305.04, King County, Washington",tract,NA,NA,Early Type 2,NA,Dynamic,NA,Dynamic
53033030600,GEOID,"Census Tract 306, King County, Washington",tract,NA,NA,NA,Susceptible,Early Type 1,NA,Early Type 1
53033030700,GEOID,"Census Tract 307, King County, Washington",tract,NA,NA,NA,NA,Early Type 1,NA,Early Type 1
53033030801,GEOID,"Census Tract 308.01, King County, Washington",tract,NA,NA,NA,NA,Early Type 1,NA,Early Type 1
53033030802,GEOID,"Census Tract 308.02, King County, Washington",tract,NA,NA,NA,NA,Early Type 1,NA,Early Type 1
53033030901,GEOID,"Census Tract 309.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033030902,GEOID,"Census Tract 309.02, King County, Washington",tract,NA,NA,NA,NA,Susceptible,NA,Early Type 1
53033031000,GEOID,"Census Tract 310, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031100,GEOID,"Census Tract 311, King County, Washington",tract,NA,NA,NA,Early Type 2,Early Type 1,NA,Early Type 1
53033031202,GEOID,"Census Tract 312.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031204,GEOID,"Census Tract 312.04, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031205,GEOID,"Census Tract 312.05, King County, Washington",tract,NA,NA,Susceptible,Susceptible,Early Type 1,NA,Early Type 1
53033031206,GEOID,"Census Tract 312.06, King County, Washington",tract,NA,NA,NA,Susceptible,Early Type 1,NA,Early Type 1
53033031301,GEOID,"Census Tract 313.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031302,GEOID,"Census Tract 313.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031400,GEOID,"Census Tract 314, King County, Washington",tract,NA,NA,NA,NA,NA,NA,Early Type 1
53033031501,GEOID,"Census Tract 315.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031502,GEOID,"Census Tract 315.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031601,GEOID,"Census Tract 316.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031603,GEOID,"Census Tract 316.03, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031604,GEOID,"Census Tract 316.04, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031605,GEOID,"Census Tract 316.05, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031703,GEOID,"Census Tract 317.03, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031704,GEOID,"Census Tract 317.04, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031705,GEOID,"Census Tract 317.05, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031706,GEOID,"Census Tract 317.06, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031800,GEOID,"Census Tract 318, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
